Version,MinDate,Miles,City Miles,Hwy Miles,Entries,%DrivesNoCriticalDE,%DrivesNoDE,City Miles to DE,Hwy Miles to DE,Miles to Critical DE,City Miles to Critical DE,Miles to DE
14.1.7,11/10/2025,"1,902","1,049",853,117,100.00%,82.10%,48,213,774,379,73
14.1.4,10/26/2025,"13,198","8,369","4,829",954,100.00%,70.10%,23,127,"5,282","2,231",33
14.1.3,10/20/2025,"2,643","1,635","1,008",183,100.00%,72.10%,23,67,363,323,31
14.1.2,10/16/2025,261,261,0,36,100.00%,52.80%,10,0,13,13,10
14.1.1,10/11/2025,680,471,209,41,100.00%,65.90%,25,42,66,66,28
14.1,10/7/2025,524,524,0,74,100.00%,67.60%,15,0,157,157,15
13.2.9,5/12/2025,"83,441","53,118","30,323","5,661",95.50%,61.60%,17,72,389,214,24
13.2.8,2/19/2025,"26,040","12,094","13,945","1,597",96.50%,79.00%,27,170,450,205,50
12.6.4,2/18/2025,"100,602","62,666","37,936","6,384",90.40%,63.00%,20,52,194,114,27
13.2.7,2/10/2025,"6,441","2,492","3,949",374,97.60%,88.50%,37,439,644,249,84
12.6.3,1/31/2025,"8,324","5,709","2,615",568,93.70%,69.70%,25,131,225,154,33
13.2.6,1/31/2025,"2,325","1,536",790,298,98.70%,91.60%,53,99,581,384,65
13.2.5.1,1/27/2025,89,85,4,24,100.00%,100.00%,85,4,89,85,89
12.6.2,1/23/2025,"1,781","1,398",383,90,94.40%,83.30%,108,43,356,280,89
13.2.5,1/23/2025,22,22,0,1,100.00%,100.00%,22,0,22,22,22
12.6.1,1/14/2025,"3,568","1,016","2,552",146,85.60%,54.80%,11,232,170,48,34
13.2.4,1/12/2025,725,549,176,102,98.00%,80.40%,27,88,362,274,33
13.2.2.1,12/24/2024,"3,515","1,504","2,011",154,99.40%,95.50%,215,"2,011","1,757",752,439
13.2.2,12/21/2024,"10,807","5,446","5,361",850,97.40%,86.70%,38,766,450,227,72
13.2.1,12/16/2024,"1,789","1,047",742,150,97.30%,84.00%,27,186,298,174,42
13.2,11/30/2024,121,113,8,9,88.90%,77.80%,38,8,121,113,40
12.5.6.4,12/7/2024,558,312,246,62,91.90%,74.20%,7,246,80,45,12
12.5.5.3,11/25/2024,975,662,312,89,88.80%,48.30%,8,39,97,66,10
12.5.6.3,11/13/2024,"4,725","2,602","2,123",292,92.50%,81.50%,27,354,175,96,45
12.5.6.2,11/6/2024,29,29,0,2,100.00%,50.00%,15,0,29,29,15
12.5.4.2,10/29/2024,"33,500","17,881","15,620","1,588",93.30%,60.30%,23,78,305,163,34
12.5.6.1,10/23/2024,178,178,0,33,93.90%,48.50%,8,0,89,89,8
12.5.5.2,10/22/2024,735,557,178,72,93.10%,31.90%,6,25,147,111,7
12.5.6,10/15/2024,6,6,0,1,100.00%,0.00%,6,0,6,6,6
12.5.5,9/30/2024,"1,001",616,385,98,90.80%,37.80%,7,26,100,62,9
12.5.4.1,9/29/2024,"21,578","10,848","10,730","1,044",92.90%,68.00%,28,89,260,131,43
12.5.4,9/25/2024,"8,978","4,209","4,769",414,88.90%,65.00%,20,116,163,77,36
12.5.2.1,9/18/2024,"1,903",731,"1,172",100,92.00%,63.00%,15,73,190,73,29
12.5.2,9/5/2024,711,384,327,51,60.80%,43.10%,6,25,25,14,9
12.5.1.5,8/26/2024,"2,138",882,"1,256",138,87.00%,47.80%,8,66,86,35,17
12.5.1.4,8/22/2024,14,14,0,1,100.00%,0.00%,14,0,14,14,14
12.5.1.3,8/10/2024,"6,472","3,016","3,455",448,93.30%,72.50%,22,71,202,94,34
12.5.1.1,8/4/2024,"3,270","1,503","1,766",213,93.40%,77.90%,30,147,234,107,53
12.5.1,7/29/2024,"3,489","1,547","1,941",152,96.10%,70.40%,32,108,581,258,53
12.5,7/24/2024,"1,327",925,402,111,97.30%,90.10%,44,402,442,308,63
12.4.3,7/11/2024,"1,054",760,295,71,98.60%,90.10%,109,147,"1,054",760,132
12.3.5,4/29/2024,79,50,28,9,77.80%,66.70%,10,28,39,25,16
12.3.6,4/28/2024,"31,708","14,678","17,030","1,840",94.80%,64.40%,15,86,314,145,26
12.3.4,4/11/2024,"8,187","4,287","3,899",534,94.40%,67.00%,19,68,256,134,29
12.3.3,3/31/2024,"4,556","2,325","2,230",284,95.10%,68.70%,21,93,304,155,34
12.3.1,3/27/2024,162,128,34,19,100.00%,68.40%,26,17,162,128,23
12.3,3/15/2024,"4,376","2,074","2,302",347,96.80%,71.50%,21,54,398,189,30
12.2.1,2/21/2024,212,149,62,16,68.80%,12.50%,12,3,35,25,8
11.4.9,12/20/2023,"8,736","3,373","5,363",517,94.20%,35.80%,6,64,291,112,13
11.4.8.1,12/7/2023,56,20,36,7,100.00%,85.70%,20,36,56,20,56
11.4.7.3,10/22/2023,"3,892","2,215","1,677",303,80.90%,21.50%,4,33,56,32,6
11.4.7.2,10/5/2023,"1,456",833,623,129,82.20%,28.70%,4,26,63,36,6
11.4.7,8/27/2023,"3,234","1,889","1,345",312,87.50%,38.10%,5,40,75,44,8
11.4.4,6/20/2023,"9,132","4,312","4,820",572,92.50%,54.70%,11,103,208,98,21
11.4.3,6/13/2023,168,158,10,28,92.90%,32.10%,5,10,84,79,5
11.4.2,5/27/2023,"2,916","1,157","1,760",220,92.30%,59.10%,7,59,172,68,15
11.4.1,5/24/2023,77,21,56,3,100.00%,33.30%,21,19,77,21,26
11.3.6,4/9/2023,"6,695","3,515","3,180",493,93.50%,45.80%,8,41,181,95,14
11.3.4,3/31/2023,"2,203","1,156","1,047",173,95.40%,50.30%,7,28,275,144,11
11.3.3,3/27/2023,577,484,92,60,81.70%,36.70%,5,12,48,40,6
10.69.25.2,1/19/2023,"3,902","2,626","1,276",441,95.20%,51.50%,9,39,186,125,12
10.69.25.1,1/1/2023,"2,429","1,576",853,211,89.10%,50.20%,9,47,97,63,12
10.69.25,12/22/2022,"1,063",624,439,77,87.00%,35.10%,7,88,106,62,11
10.69.3.1,11/22/2022,"3,558","2,371","1,187",303,90.80%,38.00%,6,20,111,74,7
10.69.2.4,11/2/2022,"3,175","2,180",995,288,90.60%,51.70%,8,37,113,78,10
10.69.2.3,10/5/2022,"3,286","2,185","1,100",312,88.50%,49.70%,8,35,82,55,11
10.69.2.2,9/19/2022,"4,254","2,505","1,749",324,90.40%,44.40%,7,26,110,74,10
10.69.2,9/11/2022,"1,688","1,006",682,116,84.50%,43.10%,7,32,55,44,10
10.69.1.1,9/6/2022,252,159,93,26,73.10%,23.10%,5,31,36,23,7
10.12.2,5/31/2022,"23,625","8,545","15,080",933,88.40%,30.80%,6,62,126,64,15
10.11.2,4/6/2022,"11,921","4,464","7,457",290,79.70%,34.80%,30,21,56,59,27
10.10.2,2/18/2022,"8,127","3,767","4,360",309,71.50%,21.00%,9,9,49,28,9
10.10.,2/4/2022,510,323,187,15,66.70%,26.70%,17,37,85,54,22
10.9,1/19/2022,"2,544","1,809",735,78,34.60%,16.70%,9,16,,42,11
10.8.1,1/12/2022,"5,255","2,618","2,636",66,57.60%,4.50%,11,29,,164,17
10.8,12/25/2021,"1,315",521,793,17,0.00%,5.90%,6,793,,521,15
10.6.1,12/12/2021,"1,071",312,758,12,0.00%,16.70%,10,758,,312,36
10.5,11/23/2021,"1,002",793,209,26,0.00%,7.70%,7,209,,793,9
10.4,11/8/2021,981,706,275,15,0.00%,6.70%,3,275,,706,5
10.3.1,10/25/2021,703,537,166,13,0.00%,0.00%,4,166,,537,5